"filename","detected_eggs","detected_hens","num_eggs","visible_hens"
"EggCheck_image_2016-07-04_1530.jpg",3,0,5,0
"EggCheck_image_2016-07-04_1600.jpg",3,0,5,0
"EggCheck_image_2016-07-04_1630.jpg",2,0,0,1
"EggCheck_image_2016-07-05_1400.jpg",4,0,5,0
"EggCheck_image_2016-07-06_0830.jpg",0,0,0,1
"EggCheck_image_2016-07-06_0900.jpg",3,0,0,1
"EggCheck_image_2016-07-06_0930.jpg",1,0,0,1
"EggCheck_image_2016-07-06_1000.jpg",1,0,0,1
"EggCheck_image_2016-07-06_1030.jpg",4,0,5,0
"EggCheck_image_2016-07-06_1630.jpg",0,0,0,0
"EggCheck_image_2016-07-06_1700.jpg",0,0,0,0
"EggCheck_image_2016-07-07_0730.jpg",0,0,2,0
"EggCheck_image_2016-07-07_1030.jpg",5,0,4,0
"EggCheck_image_2016-07-07_1230.jpg",3,0,2,1
"EggCheck_image_2016-07-07_1300.jpg",0,0,0,1
"EggCheck_image_2016-07-07_1530.jpg",5,0,5,0
"EggCheck_image_2016-07-07_1600.jpg",0,0,0,0
"EggCheck_image_2016-07-07_2300.jpg",0,0,0,0
"EggCheck_image_2016-07-08_0800.jpg",1,0,0,1
"EggCheck_image_2016-07-08_0830.jpg",3,0,3,1
"EggCheck_image_2016-07-08_0900.jpg",2,0,4,0
"EggCheck_image_2016-07-08_1330.jpg",1,0,1,0
"EggCheck_image_2016-07-08_1630.jpg",2,0,2,0
"EggCheck_image_2016-07-10_1000.jpg",3,0,3,0
"EggCheck_image_2016-07-10_1030.jpg",3,0,0,1
"EggCheck_image_2016-07-11_0300.jpg",0,0,0,0
"EggCheck_image_2016-07-11_0730.jpg",2,0,1,1
"EggCheck_image_2016-07-11_0930.jpg",2,0,3,0
"EggCheck_image_2016-07-11_1230.jpg",3,0,4,0
"EggCheck_image_2016-07-11_1300.jpg",5,0,1,1
"EggCheck_image_2016-07-11_1630.jpg",4,0,5,0
"EggCheck_image_2016-07-11_1700.jpg",1,0,5,0
"EggCheck_image_2016-07-11_1900.jpg",0,0,5,0
"EggCheck_image_2016-07-12_0800.jpg",2,0,0,1
"EggCheck_image_2016-07-12_0830.jpg",7,0,0,1
"EggCheck_image_2016-07-12_1500.jpg",7,0,11,0
